Date,State,Branch,Staffs,Sales,Expenses,Staff_daily,Profit,,,,,,
01/01/2015,Osun,Branch B,13,1368681,790992,65000,512689,,,,,,
02/01/2015,Osun,Branch B,11,815590,538062,55000,222528,,,,,,
03/01/2015,Osun,Branch D,19,1289421,322145,95000,872276,,,,,,
04/01/2015,Lagos,Branch D,16,1023553,501907,80000,441646,,,,,,
05/01/2015,Kwara,Branch D,14,1205499,408098,70000,727401,,,,,,
06/01/2015,Kwara,Branch D,15,1152825,645539,75000,432286,,,,,,
07/01/2015,Lagos,Branch C,10,710835,712009,50000,-51174,,,,,,
08/01/2015,Osun,Branch B,11,691001,484560,55000,151441,,,,,,
09/01/2015,Osun,Branch B,18,1103939,791701,90000,222238,,,,,,
10/01/2015,Kwara,Branch C,11,782332,453222,55000,274110,,,,,,
11/01/2015,Lagos,Branch A,21,1137356,704705,105000,327651,,,,,,
12/01/2015,Osun,Branch A,11,936249,788196,55000,93053,,,,,,
13/01/2015,Osun,Branch A,13,1303232,628901,65000,609331,,,,,,
14/01/2015,Osun,Branch C,12,792691,430359,60000,302332,,,,,,
15/01/2015,Kwara,Branch B,20,1245540,595883,100000,549657,,,,,,
16/01/2015,Kwara,Branch B,14,731448,556530,70000,104918,,,,,,
17/01/2015,Osun,Branch A,18,728966,397909,90000,241057,,,,,,
18/01/2015,Lagos,Branch D,19,1097958,625078,95000,377880,,,,,,
19/01/2015,Kwara,Branch D,11,935809,411774,55000,469035,,,,,,
20/01/2015,Kwara,Branch B,19,1306406,555008,95000,656398,,,,,,
21/01/2015,Lagos,Branch C,14,1256118,667549,70000,518569,,,,,,
22/01/2015,Kwara,Branch D,15,1350996,355178,75000,920818,,,,,,
23/01/2015,Lagos,Branch A,20,1135609,329833,100000,705776,,,,,,
24/01/2015,Kwara,Branch B,14,1167295,490432,70000,606863,,,,,,
25/01/2015,Kwara,Branch D,20,982474,796376,100000,86098,,,,,,
26/01/2015,Kwara,Branch B,10,1373856,711034,50000,612822,,,,,,
27/01/2015,Osun,Branch C,17,1230071,775514,85000,369557,,,,,,
28/01/2015,Lagos,Branch C,18,951020,337486,90000,523534,,,,,,
29/01/2015,Kwara,Branch C,12,1154043,324219,60000,769824,,,,,,
30/01/2015,Osun,Branch C,19,601686,540481,95000,-33795,,,,,,
31/01/2015,Osun,Branch C,12,1392303,679551,60000,652752,,,,,,
01/02/2015,Kwara,Branch D,10,999164,647312,50000,301852,,,,,,
02/02/2015,Lagos,Branch D,12,1029756,638532,60000,331224,,,,,,
03/02/2015,Kwara,Branch C,16,992722,649267,80000,263455,,,,,,
04/02/2015,Kwara,Branch B,17,1095169,363919,85000,646250,,,,,,
05/02/2015,Osun,Branch D,18,814034,510391,90000,213643,,,,,,
06/02/2015,Osun,Branch B,21,916040,758110,105000,52930,,,,,,
07/02/2015,Osun,Branch C,15,1001358,609048,75000,317310,,,,,,
08/02/2015,Kwara,Branch C,12,1084681,797238,60000,227443,,,,,,
09/02/2015,Kwara,Branch C,11,1275867,601391,55000,619476,,,,,,
10/02/2015,Osun,Branch D,16,969349,460376,80000,428973,,,,,,
11/02/2015,Osun,Branch B,21,847519,668928,105000,73591,,,,,,
12/02/2015,Kwara,Branch C,15,677666,502082,75000,100584,,,,,,
13/02/2015,Kwara,Branch C,12,1306190,375244,60000,870946,,,,,,
14/02/2015,Osun,Branch C,20,1256675,499423,100000,657252,,,,,,
15/02/2015,Osun,Branch C,11,1020463,552616,55000,412847,,,,,,
16/02/2015,Kwara,Branch A,20,1079677,483754,100000,495923,,,,,,
17/02/2015,Lagos,Branch A,13,1346725,479001,65000,802724,,,,,,
18/02/2015,Lagos,Branch A,16,1355307,311313,80000,963994,,,,,,
19/02/2015,Osun,Branch A,16,659945,411430,80000,168515,,,,,,
20/02/2015,Lagos,Branch A,13,991767,534125,65000,392642,,,,,,
21/02/2015,Lagos,Branch B,10,806741,782057,50000,-25316,,,,,,
22/02/2015,Lagos,Branch B,10,948132,671908,50000,226224,,,,,,
23/02/2015,Kwara,Branch D,10,1396353,776030,50000,570323,,,,,,
24/02/2015,Lagos,Branch A,17,1042271,495911,85000,461360,,,,,,
25/02/2015,Osun,Branch A,13,882683,633905,65000,183778,,,,,,
26/02/2015,Kwara,Branch A,14,1073391,573054,70000,430337,,,,,,
27/02/2015,Kwara,Branch C,10,792643,464312,50000,278331,,,,,,
28/02/2015,Kwara,Branch D,21,740098,358672,105000,276426,,,,,,
01/03/2015,Osun,Branch B,16,790339,724503,80000,-14164,,,,,,
02/03/2015,Osun,Branch A,12,1210304,508174,60000,642130,,,,,,
03/03/2015,Lagos,Branch D,16,1341778,300292,80000,961486,,,,,,
04/03/2015,Kwara,Branch D,18,645600,363102,90000,192498,,,,,,
05/03/2015,Lagos,Branch B,17,1186014,312213,85000,788801,,,,,,
06/03/2015,Kwara,Branch C,18,1081792,368302,90000,623490,,,,,,
07/03/2015,Kwara,Branch A,20,791119,591546,100000,99573,,,,,,
08/03/2015,Kwara,Branch C,12,1243191,576833,60000,606358,,,,,,
09/03/2015,Kwara,Branch A,19,1181394,771909,95000,314485,,,,,,
10/03/2015,Kwara,Branch C,15,1193373,629430,75000,488943,,,,,,
11/03/2015,Lagos,Branch D,14,708328,738257,70000,-99929,,,,,,
12/03/2015,Osun,Branch B,17,1276138,666999,85000,524139,,,,,,
13/03/2015,Kwara,Branch B,20,1178900,482512,100000,596388,,,,,,
14/03/2015,Lagos,Branch D,14,1106931,620386,70000,416545,,,,,,
15/03/2015,Kwara,Branch A,11,1198510,309496,55000,834014,,,,,,
16/03/2015,Kwara,Branch C,21,742115,394555,105000,242560,,,,,,
17/03/2015,Kwara,Branch D,20,632096,709071,100000,-176975,,,,,,
18/03/2015,Kwara,Branch D,21,1320395,461596,105000,753799,,,,,,
19/03/2015,Osun,Branch B,10,941618,595671,50000,295947,,,,,,
20/03/2015,Kwara,Branch D,15,839658,561077,75000,203581,,,,,,
21/03/2015,Lagos,Branch D,19,1033055,304198,95000,633857,,,,,,
22/03/2015,Osun,Branch C,11,936828,764156,55000,117672,,,,,,
23/03/2015,Lagos,Branch D,20,1085204,396893,100000,588311,,,,,,
24/03/2015,Osun,Branch C,11,1090619,423862,55000,611757,,,,,,
25/03/2015,Kwara,Branch D,15,1046317,667870,75000,303447,,,,,,
26/03/2015,Osun,Branch A,14,960223,492487,70000,397736,,,,,,
27/03/2015,Kwara,Branch D,11,1065002,723804,55000,286198,,,,,,
28/03/2015,Kwara,Branch D,19,951980,569753,95000,287227,,,,,,
29/03/2015,Lagos,Branch D,20,999866,799318,100000,100548,,,,,,
30/03/2015,Osun,Branch D,18,1288455,731285,90000,467170,,,,,,
31/03/2015,Kwara,Branch B,12,1091501,421196,60000,610305,,,,,,
01/04/2015,Osun,Branch B,10,1276934,309963,50000,916971,,,,,,
02/04/2015,Osun,Branch C,10,1330738,437576,50000,843162,,,,,,
03/04/2015,Osun,Branch C,12,1206241,472950,60000,673291,,,,,,
04/04/2015,Osun,Branch A,13,685736,717413,65000,-96677,,,,,,
05/04/2015,Lagos,Branch D,11,837692,343023,55000,439669,,,,,,
06/04/2015,Lagos,Branch B,17,1057445,515011,85000,457434,,,,,,
07/04/2015,Lagos,Branch D,12,1026523,366894,60000,599629,,,,,,
